lnpsi,0.35197046189815573
transformed_nu,0.11837177406522943
lnsigma,0.1898951041999135
lngl,0.11825899561415239
theta,0.03758416799129178
I_drf_boro1_coeff,0.13768095926206853
I_drf_boro2_coeff,0.13565675346614522
I_drf_boro3_coeff,0.1338999554224396
I_drf_boro4_coeff,0.13776068384542853
I_drf_dow1_coeff,0.011398079546339007
I_drf_dow2_coeff,0.01871873941989703
I_drf_dow3_coeff,0.01978589959927468
I_drf_dow4_coeff,0.0182299286554251
I_drf_dow5_coeff,0.01736598889468593
I_drf_dow6_coeff,0.01651989100509427
I_drf_hr1_coeff,0.02664412543957383
I_drf_hr10_coeff,0.05118018745706837
I_drf_hr11_coeff,0.046203321055743346
I_drf_hr12_coeff,0.04256708787367536
I_drf_hr13_coeff,0.03682283559389757
I_drf_hr14_coeff,0.024702419842625955
I_drf_hr15_coeff,0.013277299499100515
I_drf_hr16_coeff,0.035827237623336124
I_drf_hr17_coeff,0.08390596021578796
I_drf_hr18_coeff,0.05540790167883725
I_drf_hr19_coeff,0.024710981290470977
I_drf_hr2_coeff,0.04191338900689565
I_drf_hr20_coeff,0.02516014946540623
I_drf_hr21_coeff,0.031428854413693544
I_drf_hr22_coeff,0.03369451459962047
I_drf_hr23_coeff,0.029793943228301353
I_drf_hr3_coeff,0.04413127595427457
I_drf_hr4_coeff,0.04814508790111778
I_drf_hr5_coeff,0.07181876019710405
I_drf_hr6_coeff,0.0828176031475062
I_drf_hr7_coeff,0.07282300008340516
I_drf_hr8_coeff,0.06517115562716004
I_drf_hr9_coeff,0.05875245155612703
I_psi_ctd2_coeff,0.17061628577027804
I_psi_ctd3_coeff,0.19529314343408605
I_psi_ctd4_coeff,0.22336814855853915
I_psi_ctd5_coeff,0.2557253603491206
I_psi_ctd6_coeff,0.2768365444889647
I_psi_ctd7_coeff,0.29937401144559594
I_psi_ctd8_coeff,0.31658486348156817
I_psi_ctd9_coeff,0.33443186890871485
constant,0.21606708580986375
